age,incomeBracket,healthRiskScore,sumInsured,coverageType,policyTier
31,HIGH,88,1900000,HEALTH,PREMIUM
35,LOW,9,950000,VEHICLE,STANDARD
54,MID,22,1100000,LIFE,PREMIUM
31,MID,96,1350000,LIFE,STANDARD
37,LOW,30,1900000,HEALTH,STANDARD
61,HIGH,42,1300000,VEHICLE,PREMIUM
26,HIGH,88,350000,VEHICLE,STANDARD
65,HIGH,6,400000,HEALTH,STANDARD
32,HIGH,43,2000000,VEHICLE,PREMIUM
56,MID,99,1100000,LIFE,STANDARD
58,LOW,57,1650000,LIFE,BASIC
40,MID,48,1450000,LIFE,STANDARD
61,MID,48,350000,VEHICLE,BASIC
36,HIGH,91,300000,LIFE,STANDARD
35,LOW,91,550000,VEHICLE,BASIC
42,MID,13,350000,LIFE,STANDARD
37,MID,97,950000,LIFE,STANDARD
26,LOW,55,1500000,VEHICLE,STANDARD
53,MID,13,150000,LIFE,STANDARD
40,MID,76,2000000,HEALTH,STANDARD
73,MID,37,1400000,HEALTH,STANDARD
67,LOW,71,850000,VEHICLE,BASIC
51,LOW,48,600000,LIFE,BASIC
35,MID,63,550000,LIFE,STANDARD
28,MID,53,1050000,HEALTH,STANDARD
68,LOW,32,850000,VEHICLE,BASIC
58,MID,78,700000,HEALTH,BASIC
24,LOW,0,1350000,HEALTH,STANDARD
71,MID,42,1500000,HEALTH,STANDARD
45,HIGH,83,2000000,LIFE,PREMIUM
37,MID,88,700000,HEALTH,STANDARD
38,LOW,50,1100000,HEALTH,STANDARD
65,MID,62,1900000,LIFE,STANDARD
38,MID,100,1350000,HEALTH,STANDARD
25,HIGH,25,1950000,VEHICLE,PREMIUM
29,MID,70,150000,VEHICLE,STANDARD
47,HIGH,26,1500000,HEALTH,PREMIUM
71,MID,52,1650000,LIFE,STANDARD
58,MID,32,550000,VEHICLE,STANDARD
45,HIGH,9,1500000,VEHICLE,PREMIUM
48,MID,68,1700000,VEHICLE,STANDARD
44,MID,46,1800000,VEHICLE,STANDARD
58,HIGH,13,850000,VEHICLE,STANDARD
60,MID,82,2050000,LIFE,STANDARD
54,HIGH,86,1350000,HEALTH,PREMIUM
68,MID,1,400000,HEALTH,STANDARD
32,MID,66,1850000,VEHICLE,STANDARD
62,MID,57,1250000,HEALTH,STANDARD
47,HIGH,75,1700000,LIFE,PREMIUM
40,HIGH,61,400000,HEALTH,STANDARD
44,HIGH,10,450000,VEHICLE,PREMIUM
27,MID,43,1550000,LIFE,PREMIUM
51,MID,60,400000,HEALTH,STANDARD
64,MID,40,300000,HEALTH,STANDARD
20,HIGH,14,150000,HEALTH,PREMIUM
59,LOW,21,850000,VEHICLE,BASIC
29,MID,42,1850000,HEALTH,PREMIUM
47,LOW,51,650000,LIFE,BASIC
58,MID,50,150000,VEHICLE,BASIC
57,HIGH,57,1950000,HEALTH,STANDARD
42,LOW,27,750000,HEALTH,STANDARD
66,MID,8,1900000,LIFE,STANDARD
69,HIGH,23,1250000,HEALTH,PREMIUM
30,MID,33,1650000,VEHICLE,PREMIUM
58,MID,49,2050000,HEALTH,STANDARD
55,LOW,45,1550000,VEHICLE,BASIC
29,HIGH,90,1050000,VEHICLE,PREMIUM
55,LOW,17,1100000,LIFE,STANDARD
33,MID,23,1250000,VEHICLE,PREMIUM
27,MID,53,2000000,LIFE,STANDARD
54,MID,23,1650000,VEHICLE,PREMIUM
52,MID,82,650000,VEHICLE,STANDARD
28,MID,17,650000,HEALTH,STANDARD
71,MID,6,1200000,LIFE,STANDARD
49,LOW,49,1850000,VEHICLE,STANDARD
59,MID,87,1650000,HEALTH,STANDARD
63,HIGH,62,600000,LIFE,STANDARD
54,LOW,97,800000,HEALTH,BASIC
20,LOW,68,1000000,LIFE,STANDARD
67,MID,95,1650000,VEHICLE,STANDARD
50,LOW,14,950000,VEHICLE,STANDARD
70,HIGH,69,200000,VEHICLE,STANDARD
46,MID,54,400000,VEHICLE,STANDARD
71,MID,31,1050000,LIFE,STANDARD
46,LOW,11,1500000,LIFE,STANDARD
67,HIGH,26,1950000,VEHICLE,PREMIUM
40,HIGH,78,1450000,LIFE,PREMIUM
57,LOW,26,750000,LIFE,BASIC
54,MID,35,2000000,VEHICLE,PREMIUM
28,MID,90,1000000,HEALTH,STANDARD
54,LOW,65,400000,LIFE,BASIC
66,HIGH,7,950000,VEHICLE,STANDARD
26,MID,16,850000,LIFE,STANDARD
63,MID,31,1350000,HEALTH,STANDARD
27,MID,34,1400000,HEALTH,PREMIUM
46,LOW,98,350000,HEALTH,BASIC
50,MID,88,1250000,HEALTH,STANDARD
49,MID,0,350000,VEHICLE,STANDARD
47,MID,89,1200000,LIFE,STANDARD
68,MID,27,1450000,LIFE,STANDARD
49,LOW,36,1150000,VEHICLE,STANDARD
54,LOW,62,1150000,VEHICLE,STANDARD
66,LOW,12,1550000,LIFE,STANDARD
25,HIGH,20,1500000,HEALTH,PREMIUM
18,HIGH,54,700000,VEHICLE,STANDARD
26,HIGH,38,600000,HEALTH,PREMIUM
23,MID,32,350000,HEALTH,STANDARD
60,HIGH,21,250000,HEALTH,STANDARD
58,MID,89,800000,HEALTH,BASIC
59,LOW,12,100000,LIFE,BASIC
48,LOW,75,800000,VEHICLE,BASIC
61,MID,1,1150000,LIFE,STANDARD
73,MID,16,1600000,LIFE,STANDARD
32,MID,93,400000,LIFE,STANDARD
38,MID,38,500000,HEALTH,STANDARD
67,HIGH,17,550000,LIFE,STANDARD
51,MID,78,600000,HEALTH,STANDARD
40,MID,80,550000,HEALTH,STANDARD
57,MID,27,350000,LIFE,STANDARD
26,HIGH,75,1300000,HEALTH,PREMIUM
45,MID,17,850000,HEALTH,STANDARD
59,LOW,70,2000000,VEHICLE,BASIC
64,MID,99,150000,VEHICLE,BASIC
74,MID,66,2000000,VEHICLE,STANDARD
30,MID,37,250000,LIFE,STANDARD
49,MID,30,1650000,VEHICLE,PREMIUM
56,LOW,1,1250000,HEALTH,STANDARD
26,MID,72,1400000,HEALTH,STANDARD
52,MID,97,1600000,LIFE,STANDARD
19,MID,1,900000,LIFE,STANDARD
20,HIGH,50,1700000,HEALTH,PREMIUM
58,MID,98,1400000,HEALTH,STANDARD
62,MID,81,1800000,VEHICLE,STANDARD
57,LOW,10,1050000,LIFE,STANDARD
50,HIGH,19,1800000,HEALTH,PREMIUM
43,MID,97,300000,HEALTH,STANDARD
62,MID,30,250000,LIFE,STANDARD
23,HIGH,14,1550000,VEHICLE,PREMIUM
56,LOW,85,650000,LIFE,BASIC
18,MID,89,100000,LIFE,STANDARD
49,HIGH,66,1750000,VEHICLE,PREMIUM
34,LOW,16,950000,VEHICLE,STANDARD
74,LOW,3,1150000,HEALTH,STANDARD
35,MID,33,1900000,VEHICLE,PREMIUM
22,MID,65,1250000,LIFE,STANDARD
49,HIGH,21,1250000,LIFE,PREMIUM
34,HIGH,73,450000,LIFE,STANDARD
65,MID,5,100000,LIFE,STANDARD
20,MID,49,550000,LIFE,STANDARD
72,LOW,91,1400000,LIFE,BASIC
38,LOW,92,1100000,HEALTH,STANDARD
70,LOW,47,450000,VEHICLE,BASIC
61,HIGH,22,800000,VEHICLE,STANDARD
20,HIGH,8,1550000,HEALTH,PREMIUM
67,HIGH,41,350000,VEHICLE,STANDARD
47,LOW,25,1000000,VEHICLE,STANDARD
68,MID,79,850000,HEALTH,BASIC
41,MID,63,700000,VEHICLE,STANDARD
75,MID,31,550000,LIFE,STANDARD
44,LOW,69,1200000,VEHICLE,STANDARD
71,MID,1,1150000,LIFE,STANDARD
66,MID,94,1050000,LIFE,STANDARD
31,MID,30,1400000,HEALTH,PREMIUM
21,HIGH,18,950000,LIFE,PREMIUM
20,HIGH,66,1400000,VEHICLE,PREMIUM
75,MID,95,350000,VEHICLE,BASIC
24,MID,81,1350000,LIFE,STANDARD
55,MID,55,500000,LIFE,BASIC
36,LOW,40,1350000,VEHICLE,STANDARD
71,MID,40,1500000,HEALTH,STANDARD
32,LOW,25,500000,VEHICLE,STANDARD
24,LOW,21,1500000,HEALTH,STANDARD
38,MID,68,1200000,LIFE,STANDARD
46,MID,33,450000,LIFE,STANDARD
28,HIGH,38,2000000,LIFE,PREMIUM
31,HIGH,41,550000,LIFE,PREMIUM
63,LOW,45,1350000,VEHICLE,BASIC
21,MID,33,650000,LIFE,STANDARD
43,HIGH,71,1850000,LIFE,PREMIUM
24,MID,17,450000,LIFE,STANDARD
21,HIGH,28,500000,LIFE,PREMIUM
70,MID,87,350000,VEHICLE,BASIC
55,LOW,9,150000,LIFE,BASIC
30,HIGH,56,500000,LIFE,STANDARD
75,HIGH,42,450000,LIFE,STANDARD
47,LOW,73,1450000,VEHICLE,STANDARD
43,MID,48,1450000,LIFE,STANDARD
40,LOW,23,950000,HEALTH,STANDARD
46,HIGH,4,2050000,VEHICLE,PREMIUM
57,LOW,37,1650000,HEALTH,STANDARD
74,MID,7,350000,HEALTH,STANDARD
42,LOW,25,1750000,LIFE,STANDARD
58,HIGH,69,150000,HEALTH,STANDARD
68,MID,61,1800000,HEALTH,STANDARD
40,HIGH,64,1100000,HEALTH,PREMIUM
35,LOW,40,2000000,LIFE,STANDARD
19,HIGH,99,950000,LIFE,STANDARD
69,HIGH,67,1200000,VEHICLE,STANDARD
32,HIGH,12,850000,VEHICLE,PREMIUM
33,LOW,94,250000,LIFE,BASIC
54,HIGH,49,1200000,LIFE,PREMIUM
29,LOW,40,1200000,VEHICLE,STANDARD
19,MID,45,1900000,VEHICLE,STANDARD
27,MID,24,1650000,VEHICLE,PREMIUM
37,LOW,4,350000,LIFE,STANDARD
32,MID,2,1750000,HEALTH,PREMIUM
